id,title,author,genre,publisher,year,author_set,author_set_name
21326,Behold the Man,"Trenton Sipes, Clint Hauck VM",Reference book,Bowes & Bowes,1979,"('Clint Hauck VM', 'Trenton Sipes')","Clint Hauck VM, Trenton Sipes"
21546,The Deer Hunter,Norris Gusikowski,Reference book,Koren Publishers Jerusalem,1993,"('Norris Gusikowski',)",Norris Gusikowski
21130,Snatch,Rev. Lura Jaskolski,Fable,Left Book Club,2000,"('Rev. Lura Jaskolski',)",Rev. Lura Jaskolski
21287,Dial M for Murder,Miss Elmo Walsh,Textbook,Libertas Academica,1977,"('Miss Elmo Walsh',)",Miss Elmo Walsh
21237,The Departed,Mario Aufderhar,Folklore,BBC Books,2015,"('Mario Aufderhar',)",Mario Aufderhar
21133,That Hideous Strength,Ruby Schowalter,Essay,Brill Publishers,1976,"('Ruby Schowalter',)",Ruby Schowalter
21584,A Many-Splendoured Thing,Mohammad Lynch III,Textbook,Hamish Hamilton,1978,"('Mohammad Lynch III',)",Mohammad Lynch III
21269,Led Zeppelin IV,Lawana Veum,Essay,ECW Press,2007,"('Lawana Veum',)",Lawana Veum
21197,Call of Duty: Black Ops III,"Hilario Legros I, Marco Cormier, Adrian Stroman PhD, Morton Goodwin I",Textbook,University of Michigan Press,2013,"('Adrian Stroman PhD', 'Hilario Legros I', 'Marco Cormier', 'Morton Goodwin I')","Adrian Stroman PhD, Hilario Legros I, Marco Cormier, Morton Goodwin I"
21054,Amadeus,Mrs. Dario Jaskolski,Realistic fiction,Ziff Davis Media,1997,"('Mrs. Dario Jaskolski',)",Mrs. Dario Jaskolski
21013,Pokémon LeafGreen,Natasha Hackett,Essay,Godwit Press,1984,"('Natasha Hackett',)",Natasha Hackett
21201,Day of the Tentacle,"Vernon Bartoletti, Leo Hessel, Brenda Gorczany, Tony Schmeler",Humor,Faber and Faber,1978,"('Brenda Gorczany', 'Leo Hessel', 'Tony Schmeler', 'Vernon Bartoletti')","Brenda Gorczany, Leo Hessel, Tony Schmeler, Vernon Bartoletti"
21532,Ricochet,Jaimie Skiles,Western,"Farrar, Straus & Giroux",2001,"('Jaimie Skiles',)",Jaimie Skiles
