id,title,author,genre,publisher,year,author_set,author_set_name
19199,The Yellow Meads of Asphodel,Carolyne West,Classic,Mainstream Publishing,2009,"('Carolyne West',)",Carolyne West
19398,From Here to Eternity,"Rep. Heath Stiedemann, Gino Welch, Haydee Larson",Short story,Vintage Books,2001,"('Gino Welch', 'Haydee Larson', 'Rep. Heath Stiedemann')","Gino Welch, Haydee Larson, Rep. Heath Stiedemann"
19483,Eyeless in Gaza,Vannessa Price,Biography/Autobiography,Pavilion Books,1886,"('Vannessa Price',)",Vannessa Price
19506,Precious Bane,Miss Yong Wyman,Realistic fiction,New English Library,2021,"('Miss Yong Wyman',)",Miss Yong Wyman
19570,City of God,Travis Moore,Suspense/Thriller,Bellevue Literary Press,1847,"('Travis Moore',)",Travis Moore
19264,The Way of All Flesh,Matthew Breitenberg,Legend,,1987,"('Matthew Breitenberg',)",Matthew Breitenberg
19210,3 Idiots,Julianne Keeling,Folklore,McFarland & Company,1992,"('Julianne Keeling',)",Julianne Keeling
19536,Memento,Alina Oberbrunner,Essay,Bowes & Bowes,1982,"('Alina Oberbrunner',)",Alina Oberbrunner
18997,Terrible Swift Sword,Roni Davis,Crime/Detective,Burns & Oates,1983,"('Roni Davis',)",Roni Davis
19166,Myst,Laverne Lemke,Legend,Mark Batty Publisher,2002,"('Laverne Lemke',)",Laverne Lemke
19473,That Hideous Strength,Eli Okuneva DC,Tall tale,Marshall Pickering,2024,"('Eli Okuneva DC',)",Eli Okuneva DC
19256,Overwatch,"Everett Heller, Caroline Mayer, Camelia Huels",Mythopoeia,Parachute Publishing,1987,"('Camelia Huels', 'Caroline Mayer', 'Everett Heller')","Camelia Huels, Caroline Mayer, Everett Heller"
18970,Halo 4,Eli Okuneva DC,Tall tale,Black Dog Publishing,2012,"('Eli Okuneva DC',)",Eli Okuneva DC
19326,Forrest Gump,Efren Bayer V,Fairy tale,Hawthorne Books,1997,"('Efren Bayer V',)",Efren Bayer V
18940,Dulce et Decorum Est,Prof. Anastacia Howe,Science fiction,Cengage Learning,2025,"('Prof. Anastacia Howe',)",Prof. Anastacia Howe
19459,"Look Homeward, Angel",Thurman Bruen,Crime/Detective,Ladybird Books,1985,"('Thurman Bruen',)",Thurman Bruen
19359,Tiger! Tiger!,Nichole Wiza,Narrative nonfiction,Salt Publishing,2002,"('Nichole Wiza',)",Nichole Wiza
19265,Happy Nation,"Fran Ritchie, Rebecca Torp",Mystery,Target Books,2021,"('Fran Ritchie', 'Rebecca Torp')","Fran Ritchie, Rebecca Torp"
18967,A Farewell to Arms,Basil Tremblay,Fiction in verse,Basic Books,2024,"('Basil Tremblay',)",Basil Tremblay
19476,Million Dollar Baby,Tyler Schneider,Fairy tale,No Starch Press,2014,"('Tyler Schneider',)",Tyler Schneider
18915,The Departed,Patience Kautzer,Fiction narrative,Faber and Faber,1987,"('Patience Kautzer',)",Patience Kautzer
19331,Consider Phlebas,"Fr. Jeremiah Larson, Ms. Chris Paucek",Crime/Detective,E. P. Dutton,1991,"('Fr. Jeremiah Larson', 'Ms. Chris Paucek')","Fr. Jeremiah Larson, Ms. Chris Paucek"
19299,Nevermind,"Awilda Sauer Sr., Amos Schaden VM, Jenniffer Greenholt",Textbook,Godwit Press,1999,"('Amos Schaden VM', 'Awilda Sauer Sr.', 'Jenniffer Greenholt')","Amos Schaden VM, Awilda Sauer Sr., Jenniffer Greenholt"
18907,Call of Duty: Modern Warfare Remastered,Hosea Monahan,Fable,T & T Clark,1980,"('Hosea Monahan',)",Hosea Monahan
19258,The Waste Land,Alanna Mayer,Fiction in verse,Bella Books,1990,"('Alanna Mayer',)",Alanna Mayer
19307,Sgt. Pepper's Lonely Hearts Club Band,Gov. Luella Konopelski,Folklore,HMSO,2006,"('Gov. Luella Konopelski',)",Gov. Luella Konopelski
19500,Hotel California,Delbert Emmerich II,Legend,Book League of America,1984,"('Delbert Emmerich II',)",Delbert Emmerich II
19145,Dangerous,Jeffrey Cassin,Crime/Detective,Darakwon Press,1972,"('Jeffrey Cassin',)",Jeffrey Cassin
19207,Infinite Jest,"Elia Bartell, Brice Prohaska MD, Jerald Kreiger",Fiction narrative,NavPress,2014,"('Brice Prohaska MD', 'Elia Bartell', 'Jerald Kreiger')","Brice Prohaska MD, Elia Bartell, Jerald Kreiger"
